iter	Passed	Remaining
399	57314	229256
400	57490	229244
401	57686	229309
402	57861	229293
403	58081	229451
404	58188	229160
405	58354	229106
406	58542	229135
407	58741	229206
408	58769	228612
409	58865	228285
410	59066	228362
411	59274	228464
412	59285	227810
413	59449	227745
414	59460	227097
415	59603	226953
416	59783	226946
417	59928	226811
418	60082	226707
419	60230	226580
420	60372	226430
421	60534	226359
422	60675	226207
423	60976	226646
424	61006	226083
425	61175	226033
426	61286	225768
427	61450	225700
428	61609	225615
429	61764	225510
430	61922	225421
431	62126	225495
432	62258	225311
433	62268	224683
434	62446	224663
435	62458	224047
436	62694	224235
437	62841	224105
438	62984	223960
439	62996	223352
440	63150	223245
441	63310	223164
442	63475	223094
443	63616	222945
444	63762	222811
445	63925	222735
446	64081	222636
447	64194	222388
448	64355	222304
449	64513	222214
450	64684	222166
451	64866	222152
452	65049	222144
453	65222	222099
454	65373	221984
455	65523	221859
456	65646	221647
457	65800	221537
458	65962	221456
459	66094	221273
460	66282	221277
461	66414	221092
462	66604	221105
463	66768	221027
464	66916	220894
465	67071	220789
466	67222	220668
467	67396	220621
468	67402	220028
469	67567	219953
470	67798	220092
471	68001	220142
472	68180	220108
473	68390	220175
474	68551	220085
475	68565	219523
476	68718	219409
477	68826	219151
478	68952	218947
479	69099	218813
480	69234	218643
481	69246	218083
482	69390	217939
483	69547	217839
484	69559	217283
485	69697	217122
486	69881	217107
487	70028	216974
488	70183	216865
489	70384	216899
490	70533	216772
491	70654	216557
492	70760	216301
493	70922	216212
494	71014	215913
495	71154	215757
496	71300	215622
497	71404	215360
498	71548	215219
499	71704	215114
500	71861	215011
501	72004	214866
502	72148	214725
503	72286	214565
504	72440	214452
505	72451	213916
506	72613	213830
507	72784	213769
508	72939	213661
509	73103	213575
510	73114	213047
511	73266	212930
512	73486	213011
513	73497	212486
514	73674	212438
515	73853	212401
516	74046	212399
517	74223	212353
518	74235	211836
519	74388	211722
520	74550	211632
521	74560	211111
522	74568	210587
523	74574	210061
524	74726	209946
525	74922	209953
526	75131	209997
527	75292	209905
528	75484	209899
529	75557	209565
530	75633	209237
531	75803	209172
532	75994	209162
533	76125	208988
534	76312	208966
535	76460	208840
536	76628	208767
537	76785	208662
538	76945	208567
539	77081	208406
540	77130	208010
541	77289	207910
542	77412	207717
543	77586	207659
544	77725	207506
545	77743	207030
546	77929	207004
547	78087	206902
548	78141	206527
549	78287	206395
550	78446	206296
551	78607	206203
552	78618	205716
553	78800	205677
554	78809	205189
555	78818	204700
556	79021	204719
557	79181	204623
558	79377	204620
559	79536	204521
560	79734	204524
561	79884	204402
562	80063	204353
563	80226	204263
564	80377	204143
565	80533	204037
566	80695	203944
567	80849	203833
568	80935	203548
569	81199	203710
570	81371	203642
571	81576	203656
572	81735	203555
573	81849	203340
574	82004	203229
575	82150	203095
576	82314	203005
577	82477	202911
578	82647	202835
579	82804	202728
580	82967	202634
581	82976	202166
582	83133	202058
583	83141	201589
584	83148	201120
585	83334	201084
586	83472	200930
587	83582	200711
588	83736	200597
589	83903	200516
590	84006	200279
591	84166	200179
592	84335	200101
593	84475	199953
594	84568	199696
595	84805	199777
596	84817	199328
597	85015	199316
598	85182	199233
599	85219	198845
600	85371	198727
601	85380	198276
602	85533	198160
603	85541	197707
604	85686	197574
605	85697	197133
606	85854	197025
607	86010	196919
608	86163	196803
609	86241	196517
610	86249	196073
611	86394	195939
612	86555	195844
613	86824	195990
614	86929	195768
615	87081	195649
616	87266	195607
617	87280	195181
618	87437	195074
619	87604	194991
620	87758	194877
621	87898	194732
622	88049	194613
623	88195	194482
624	88343	194356
625	88486	194218
626	88582	193977
627	88725	193840
628	88895	193761
629	89033	193612
630	89042	193185
631	89050	192754
632	89196	192623
633	89351	192513
634	89363	192097
635	89371	191671
636	89509	191524
637	89643	191370
638	89788	191239
639	89925	191091
640	90064	190947
641	90218	190836
642	90255	190476
643	90467	190487
644	90646	190428
645	90742	190193
646	90940	190173
647	91014	189893
648	91164	189773
649	91173	189360
650	91353	189302
651	91537	189253
652	91563	188875
653	91714	188758
654	91914	188740
655	91926	188337
656	92084	188233
657	92095	187831
658	92289	187799
659	92481	187765
660	92680	187743
661	92813	187590
662	92959	187462
663	93133	187390
664	93293	187287
665	93442	187166
666	93599	187058
667	93690	186819
668	93746	186511
669	93905	186409
670	94073	186324
671	94079	185919
672	94263	185865
673	94463	185844
674	94615	185726
675	94626	185333
676	94768	185197
677	94835	184915
678	94842	184516
679	94977	184368
680	94987	183977
681	95150	183882
682	95307	183778
683	95440	183624
684	95573	183473
685	95680	183271
686	95833	183158
687	95998	183066
688	96161	182971
689	96173	182590
690	96321	182466
691	96415	182242
692	96595	182178
693	96604	181795
694	96762	181691
695	96958	181658
696	97118	181557
697	97280	181460
698	97472	181419
699	97642	181336
700	97873	181365
701	98043	181283
702	98290	181340
703	98470	181274
704	98645	181200
705	98806	181099
706	98818	180723
707	98998	180658
708	99175	180585
709	99341	180494
710	99353	180122
711	99544	180075
712	99719	179998
713	99737	179640
714	99898	179538
715	100068	179453
716	100243	179376
717	100341	179160
718	100488	179034
719	100669	178967
720	100830	178865
721	101010	178797
722	101019	178426
723	101213	178381
724	101225	178017
725	101337	177829
726	101661	178012
727	101916	178073
728	102095	178001
729	102108	177640
730	102291	177575
731	102439	177449
732	102447	177082
733	102574	176919
734	102734	176814
735	102794	176538
736	102972	176463
737	103122	176341
738	103293	176256
739	103505	176238
740	103682	176162
741	103692	175802
742	103800	175608
743	103933	175456
744	104085	175337
